instructor,course_title,course_id,professor_score
"Robison, Brian",Fundamentals of Music Theory,61350,3.4
"Ho, Hubert",Fundamentals of Music Theory,61350,3.2
"Ward, Robert",Guitar Class,60441,3.4
"Lomanno, Mark",Black Popular Music,60904,-3.1
"McCool, Jane",Wellness,60332,6.1
"Despard, Brecia",Stats for Health Science,61321,-1.1
"King, Christopher",Organizational Behavior,60037,-2.9
"Larson, Barbara",Organizational Behavior,60036,7.5
"Gregory-Mina, Heidi",Organizational Behavior,60258,-4.4
"Albano, Sondra",Organizational Behavior,60266,4.5
"Caouette, Justin",Intro Contmporary Moral Issues,60504,-3.6
"Yelle, Benjamin",Technology and Human Values,60704,-1.7
"Caouette, Justin",Moral Soc Prblms in Hlthcare,60281,-8.8
"Wells, Mark",Moral Soc Prblms in Hlthcare,61322,4.8
"Yelle, Benjamin",The Ethics of Food,61098,0.9
"Winborne, Sheila",The Problem of Evil in Film,61099,4.9
"Stump, Jacob",Ancient Phil/Political Thought,61303,7.8
"Welden, Trafford",Technology and Human Values,53625,-1.2
"Janero, David",Special Topics Pharm Science,61402,1.0
"Thakur, Ganesh",Special Topics Pharm Science,61402,-1.3
"Bauer, Allison",American Healthcare System,61295,0.6
"Milbauer, Deboorah",Community and Public Health,61296,2.3
"Phaneuf, Tiffany",Global Persect: Discrim  Hlth,60886,-9.8
"Sullivan, Annemarie",Health Ed  Program Planning,60545,0.7
"Tanmcgrory, Aswita","Race, Ethnicity,  Hlth in US",60323,3.5
"Schwartz, Randy",Project Mgmt in Public Health,60573,-0.7
"Schwartz, Randy",Budget Principles Pub Health,60571,0.1
"Schwartz, Randy",Grant Writing in Public Health,60572,0.5
"Fotovatian, Assad",Physics for Life Sciences 2,60026,4.6
"Roberts, Wesley",Lab for PHYS 1147,60229,2.1
"Timilsina, Sudip",Lab for PHYS 1147,60014,4.2
"Ahmed, Hamza",Lab for PHYS 1147,60013,-1.4
"Beaver, Nathaniel",Lab for PHYS 1147,61278,0.6
"Milner, Samuel",Lab for PHYS 1147,60012,-12.3
"Nguyen, Anh",Lab for PHYS 1147,60011,-7.4
"Whitener, Joshua",Lab for PHYS 1147,61312,7.6
"Waguespack, Matthew",Lab for PHYS 1147,61328,1.1
"Webber, Matthew",Physics for Engineering 1,60049,-6.9
"Baktay, Joshua",Lab for PHYS 1151,60048,6.3
"Kayal, Sayantani",Lab for PHYS 1151,60015,-0.3
"Krishna, Amrutha",Lab for PHYS 1151,60533,-3.2
"Zeng, Jiancheng",Lab for PHYS 1151,61360,5.3
"Webber, Matthew",Interact Learn for PHYS 1151,60171,-1.0
"Kelley, Thomas",Modern Physics,61243,4.3
"Stepanyants, Armen",Thermo  Statistical Mechanics,61128,5.3
"Kumarakuru, Haridas",Advanced Physics Lab,60216,-9.5
"Kumarakuru, Haridas",Advanced Physics Lab,61171,-5.8
"Haner, Justin",International Relations,60283,3.9
"Stump, Jacob",Ancient Phil/Political Thought,61308,3.7
"Cilke, Carl",Quantitative Techniques,61105,-1.6
"Kammerer, Edward",LGBT Issues in Public Policy,61106,-1.6
"Kammerer, Edward",Law and Society,61107,-18.9
"Kenney, Kathleen",Managing Ppl Public/Nonprofit,61097,-1.4
"Stanica, Cristina",Techniques of Policy Analysis,61398,2.2
"Rochefort, David",Health Policy and Politics,60312,-0.2
"Prokosch, Mark",Foundations of Psychology,60047,0.7
"Kimball, Grayson",Stats in Psychological Resrch,60154,-4.8
"Haber, Amanda",Developmental Psychology,60207,2.3
"Gobrogge, Kyle",Abnormal Psychology,60315,-0.2
"Richters, David",Sensation  Perception,60316,-2.4
"Ricci, Lesley",Biological Psychology,61125,1.7
"Eidson, Robert",Cognition,60256,-2.8
"Eidson, Robert",Laboratory in Cognition,61284,-0.7
"Nielson, Catherine",Lab in Social Psychology,61285,5.3
"Ricci, Lesley",Seminar Biological Psychology,61127,1.2
"Donlan, Pamela",Psychosocial Aspects,61167,-2.8
"Watkins, Maureen",Integumentary Sys  Adv Modal,60127,0.3
"Watkins, Maureen",Integumentary Sys  Adv Modal,61329,0.7
"Nolan, David",Assistive Technology,60427,0.9
"Bendix, Katherine",Assistive Technology,60427,0.9
"Nolan, David",Lab for PT 6215,60428,-2.0
"Corrente, James",Lab for PT 6215,60428,-8.0
"Bendix, Katherine",Lab for PT 6215,60428,-3.5
"Troy, Lisa",Lab for PT 6215,60428,-6.0
"Aaronson, Mala",Lab for PT 6215,60428,-6.6
"Nolan, David",Lab for PT 6215,60429,4.8
"Corrente, James",Lab for PT 6215,60429,4.8
"Bendix, Katherine",Lab for PT 6215,60429,4.8
"Troy, Lisa",Lab for PT 6215,60429,4.8
"Aaronson, Mala",Lab for PT 6215,60429,4.8
"Nolan, David",Adv PT Topics in Orthopedics,60430,0.3
"Dunlea, Kristina",Adv Special Topics in PT,60431,-21.2
"Clark, Stephen",Adv Special Topics in PT,60432,-9.4
"Brisbin, Luke",Screening for Medical Conditns,61330,2.1
"Hickey, Mary",Screening for Medical Conditns,61330,2.8
"Golub-Victor, Ann","Hlth Ed, Promotion,  Wellness",60210,-2.3
"Hayward, Lorna","Hlth Ed, Promotion,  Wellness",61369,0.1
"Donlan, Pamela",Recitation for PT 6243,60212,-3.7
"Donlan, Pamela",Recitation for PT 6243,60214,-1.3
"Golub-Victor, Ann",Recitation for PT 6243,61254,-2.6
"Golub-Victor, Ann",Recitation for PT 6243,61255,-1.6
"Stefanik, Joshua",Functional Anatomy 1,61168,1.8
"Yen, Sheng-Che",Functional Anatomy 1,61168,2.0
"Lopes, Alexandre",EBP and Research Design,61368,-0.7
"Maxwell, Jessica",EBP and Research Design,61368,0.4
"Power, Michael",Supply Chain  Operations Mgmt,60260,-3.5
"Eroglu, Cuneyt",Demand Planning  Forecasting,60800,5.2
"Cheron, Jennifer",Autism Spectrum Disorders,61266,-8.5
"Martin, Elizabeth",Seminar in Comm Disorders,61294,5.9
"Carpenito, Thomas",Stats for SLP  Audiology,60607,0.6
"Petersen, Camille",Introduction to Sociology,61327,-4.5
"Templeton, Boris",Environment and Society,60508,4.6
"Deniz Rasit, Ezgi",Social Theory,61121,-4.0
"Robinson, Hilary",Law/Society in a Digital World,61122,-10.7
"Petersen, Camille","Race, Class, and Gender",61123,-8.2
"Joyce, Theodore",Strategy in Action,60035,-0.2
"Rivas, Ronald",Strategy in Action,60018,2.4
"Rivas, Ronald",Strategy in Action,60594,0.1
"Baraldi Borgida, Monica",Strategic Decision Making,60142,-6.0
"Hinson, John",Introduction to Acting,60321,3.8
"Boehm, Samantha",The Professional Voice,61164,1.9
"Allen, Gregory",The Eloquent Presenter,60519,2.4
"Allen, Gregory",The Eloquent Presenter,60520,1.3
